SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11348,255.8,377.8
11349,239.8,305.8
11350,225.8,258.8
11351,449.6,475.8
11352,320.8,411.8
11353,349.3,375.8
11354,325.8,390.8
11355,390.8,390.8
11356,259.7,279.7
11357,383.8,385.8
11358,499.8,650.8
11359,119.8,127.8
11360,140.8,145.8
11361,79.7,127.8
11362,132.8,175.8
11363,135.8,139.8
11364,139.8,145.8
11365,425.8,475.8
11366,425.8,475.8
11367,350.8,443.8
11368,395.8,455.8
11369,435.8,450.8
11370,509.8,525.8
11371,873.8,875.8
11372,899.8,1050.8
11373,398.8,492.8
11374,65.8,125.8
11376,295.8,304.8
11377,185.8,199.8
11378,180.8,215.8
11379,119.7,162.8
11380,158.8,200.8
11381,120.8,125.8
11382,210.8,217.8
11383,312.8,315.8
11384,150.8,218.8
11385,540.8,599.8
11386,125.8,269.6
11388,297.8,359.8
11389,354.8,381.7
11390,189.8,194.7
11391,189.8,194.7
11392,199.8,239.8
11393,159.8,179.3
11394,165.8,169.8
11395,311.8,334.7
11397,171.8,219.7
11399,189.6,190.8
11400,215.8,215.8
11401,108.3,109.8
11402,162.8,175.8
11403,209.8,209.8
11404,155.8,155.8
11405,275.8,299.8
11406,228.8,238.2
11407,119.8,119.8
11408,245.8,250.8
11409,219.8,228.8
11410,206.8,209.8
11411,129.6,129.8
11412,135.8,140.8
11413,195.8,195.8
11414,45.8,69.8
11415,234.8,248.8
11416,144.8,149.7
11417,525.8,574.3
11418,585.8,849.8
11419,819.8,825.8
11420,407.8,459.7
11421,547.6,644.7
11422,215.8,219.8
11423,188.8,221.8
11424,177.8,177.8
11425,195.8,197.8
11426,159.8,219.8
11427,375.8,380.8
11428,133.8,135.8
11429,200.8,210.8
11430,239.8,241.8
11431,179.8,235.8
11432,199.8,245.8
11433,278.8,284.8
11434,189.8,202.8
11435,399.7,575.8
11436,621.8,625.8
11437,415.8,425.8
11438,1099.8,1195.8
11439,799.8,875.8
11440,399.8,895.8
11441,695.8,810.8
11442,750.8,774.3
11444,550.8,750.8
11445,550.8,750.8
11446,889.8,899.8
11448,1333.1,1333.1
11449,725.8,725.8
11451,845.8,846.8
11452,835.8,863.8
11453,425.8,435.8
11454,899.7,899.8
11455,895.7,899.3
11456,599.8,633.8
11458,392.8,2516.7
11459,84.8,129.6
11460,449.8,450.8
11461,459.8,495.8
11462,557.8,NA
11463,557.8,650.8
11464,535.8,560.8
11465,789.8,795.8
11466,999.8,1076.8
11467,475.8,475.8
11468,480.8,495.8
11469,549.7,550.8
11470,549.8,575.8
11471,549.8,869.8
11472,348.8,349.8
11473,158.8,165.8
11476,185.8,190.8
11477,152.8,161.8
11478,133.8,140.8
11479,389.8,400.8
11480,481.8,490.8
11481,327.5,345.8
11482,139.8,144.3
11483,139.8,144.3
11484,170.8,195.8
11485,170.8,195.8
11486,309.8,317.8
11487,299.8,299.8
11488,175.8,179.8
11489,179.7,188.8
11491,275.8,275.8
11492,198.6,199.7
11493,319.8,331.7
11494,325.8,373.8
11495,139.8,170.8
11496,185.8,199.7
11497,139.5,230.8
11498,134.8,139.8
11499,195.8,200.8
11500,345.8,375.8
11501,137.8,175.8
11502,139.8,164.8
11503,124.3,135.8
11505,175.8,179.8
11506,139.8,144.8
11507,177.8,185.8
11508,999.8,1040.8
11509,450.8,475.8
11510,315.8,493.8
11511,390.8,495.8
11512,825.8,828.8
11513,495.8,499.8
11514,485.8,495.8
11515,395.8,475.7
11516,450.8,500.8
11517,848.8,848.8
11518,789.7,799.8
11519,295.8,304.8
11520,325.8,588.8
11522,159.8,171.8
11523,190.8,195.8
11524,209.7,225.8
11525,162.8,162.8
11526,288.8,288.8
11527,241.8,245.8
11528,1099.8,1199.8
11529,425.8,500.8
11530,449.8,557.8
11531,419.7,479.8
11532,495.8,499.7
11533,449.8,450.8
11534,525.8,545.8
11535,695.8,695.8
11536,695.8,695.8
11537,575.8,579.8
11539,499.8,721.8
11540,250.8,259.8
11541,340.8,349.8
11542,225.8,234.8
11543,248.8,249.8
11551,275.8,290.8
11552,475.8,479.8
11553,244.3,269.8
11554,215.8,225.8
11555,269.8,389.8
11556,390.8,405.8
11557,385.8,385.8
11559,145.8,152.8
11560,1895.8,2176.8
11561,6319.8,NA
11562,2530.8,5873.8
11563,2399.8,2499.7
11564,3200.8,3400.8
11565,135.8,135.8
11566,139.8,165.8
11567,119.8,132.8
11568,99.8,177.8
11570,245.8,259.8
11571,190.8,190.8
11572,73.8,88.8
11573,73.8,88.8
11574,224.3,228.8
11575,142.8,180.8
11576,150.8,152.8
11577,129.8,162.8
11578,120.8,129.8
11579,114.3,129.8
11580,152.8,155.8
11581,74.6,137.8
11582,105.8,149.7
11583,209.8,209.8
11584,209.8,210.8
11585,81.3,125.8
11592,158.8,163.8
11593,395.8,405.8
11594,325.8,329.8
11595,99.8,189.8
11596,196.8,250.8
11597,202.8,219.3
11598,169.8,175.8
11599,145.8,185.8
11603,135.8,247.8
11613,149.7,166.8
11614,109.8,180.8
11615,259.7,275.8
11617,127.8,NA
